variable,season,SOS,EOS,mean,target_p90,gap
TBP,season1,2018-08-15,2018-09-01,0.0,0.0,0.0
Yield,season1,2018-08-15,2018-09-01,0.0,0.0,0.0
BWP,season1,2018-08-15,2018-09-01,0.0,0.0,0.0
cWP,season1,2018-08-15,2018-09-01,0.0,0.0,0.0
AETI,season1,2018-08-15,2018-09-01,40.671,,
GreenETa,season1,2018-08-15,2018-09-01,40.671,,
BlueETa,season1,2018-08-15,2018-09-01,0.0,,
PCP,season1,2018-08-15,2018-09-01,51.883,,
Peff,season1,2018-08-15,2018-09-01,47.576,,
